RTBT_Diag:WS20 101.032443782 211.343598086 144.397856222 -11.7901647123 
RTBT_Diag:WS20 104.996589995 247.027263263 178.456136868 2.44421023918 
RTBT_Diag:WS20 116.279744842 302.926637031 206.621504452 -2.98168648444 
RTBT_Diag:WS20 122.831708956 356.204482003 215.897388932 -23.6207065478 
RTBT_Diag:WS20 136.30121162 392.160536076 238.698229056 -25.5326447912 
RTBT_Diag:WS20 151.285745454 454.598570343 294.772140324 -8.17001757365 
RTBT_Diag:WS20 158.863662305 509.729705107 326.802481235 -7.49420247131 
RTBT_Diag:WS20 174.736307948 563.641321016 355.391937143 -13.796877339 
RTBT_Diag:WS20 185.835050545 609.034611573 382.179615839 -15.2552152197 
RTBT_Diag:WS20 196.224337631 656.717384966 404.767286192 -21.7035751059 
RTBT_Diag:WS21 250.4162776 96.1887020271 157.934012321 -15.368477493 
RTBT_Diag:WS21 259.145556885 107.654473893 181.055712349 -2.34430303977 
RTBT_Diag:WS21 274.46773897 130.212280505 207.226487021 4.8864772841 
RTBT_Diag:WS21 307.151970285 157.160692507 212.75323298 -19.4030984164 
RTBT_Diag:WS21 325.751382719 175.036082439 236.005004782 -14.3887277968 
RTBT_Diag:WS21 368.206182324 198.745954784 275.838802931 -7.63726562353 
RTBT_Diag:WS21 398.485323408 222.170737396 305.003615729 -5.32441467312 
RTBT_Diag:WS21 439.099183342 251.509638309 323.788719168 -21.5156916576 
RTBT_Diag:WS21 463.685180204 259.617290056 349.519117224 -12.1321179062 
RTBT_Diag:WS21 489.520728738 284.141352427 371.597072374 -15.2339682087 
RTBT_Diag:WS23 189.42176767 57.6213348618 112.276183981 -11.2453672844 
RTBT_Diag:WS23 213.158229158 69.9735996203 137.11935149 -4.44656289858 
RTBT_Diag:WS23 219.110412239 83.8332018652 157.99557486 6.52376780769 
RTBT_Diag:WS23 228.223381897 95.7552973197 163.52062525 1.53128564184 
RTBT_Diag:WS23 253.979398438 112.788424547 180.679229764 -2.70468172801 
RTBT_Diag:WS23 275.731467935 129.354600155 201.401091122 -1.1419429231 
RTBT_Diag:WS23 302.382726824 144.448606999 220.543167746 -2.87249916565 
RTBT_Diag:WS23 326.266087493 160.490675486 239.004440955 -4.3739405345 
RTBT_Diag:WS23 338.515116153 168.333223909 259.618499983 6.19432995237 
RTBT_Diag:WS23 367.087120008 188.331735367 278.433718947 0.724291259443 
RTBT_Diag:WS24 110.374663637 147.44611061 105.35715335 -23.5532337738 
RTBT_Diag:WS24 116.188584404 169.185746053 135.2575807 -7.42958452794 
RTBT_Diag:WS24 124.470964489 219.40540538 171.731884689 -0.206300245041 
RTBT_Diag:WS24 131.973828213 247.062793794 177.592933764 -11.9253772396 
RTBT_Diag:WS24 140.430161524 281.89264002 198.09797211 -13.0634286623 
RTBT_Diag:WS24 157.343604809 314.719232426 221.603410259 -14.4280083585 
RTBT_Diag:WS24 174.677637973 372.126983407 255.767545302 -17.6347653883 
RTBT_Diag:WS24 191.580947988 411.556528189 276.566188771 -25.0025493173 
RTBT_Diag:WS24 200.338988854 431.313093663 295.175951429 -20.650089829 
RTBT_Diag:WS24 206.843266726 453.100155002 311.575659558 -18.3960513063 
